Req ID;Data / Field;Definition / Business Rule;Primary Website / Source;Exact URL / Page / Endpoint;Access Method;Lookup Key;Refresh;Format / Unit;Master Destination;Priority ;Status;Validation / Notes
WEB-001; Float;Current public float used by scanner / analysis;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker;Morning (once before analysis);Million of Shares;Some excel file which will be read by Master file;High;;
WEB-002;% institutionnel;% of shares held by institutional investors;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker;Morning (once before analysis);% value;Some excel file which will be read by Master file;High;;
WEB-003;Chinese company?;Is the company from China or Hong Kong;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker;Morning (once before analysis);Yes/No;Some excel file which will be read by Master file;Low;;
WEB-004;Country;Country origin of the pubco;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker;Morning (once before analysis);Country;Some excel file which will be read by Master file;Low;;
WEB-005;ITM warrants;Total of all warrants which are in the money at actual share price and are registered;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Every 5 minutes from start  until 9h29;Units *number of warrants);Some excel file which will be read by Master file;High;In Pause;This need to be refreshed using latest share price.
WEB-006;ITM conv notes;Total of all conv notes which are in the money at actual share price and are registered;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Every 5 minutes from start  until 9h29;Units *number of warrants);Some excel file which will be read by Master file;High;In Pause;This need to be refreshed using latest share price.
WEB-007;ITM conv prefered;Total of all conv prefered which are in the money at actual share price and are registered;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Every 5 minutes from start  until 9h29;Units *number of warrants);Some excel file which will be read by Master file;High;In Pause;This need to be refreshed using latest share price.
WEB-008;ITM total;Sum of WEB 005 to WEB 007;;;;;;;;;;
WEB-009;Cash duration;Number of month company can support with actual cash burn;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Morning (once before analysis);Number of months;Some excel file which will be read by Master file;High;;Morning (once before analysis)
WEB-010;Cashflow  positive?;Is the com pany cashflow positive;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Morning (once before analysis);Yes/no;Some excel file which will be read by Master file;High;;
WEB-011;Cash burn per quarter;How much does the company looses per quarter if cashflow negative;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Morning (once before analysis);% value;Some excel file which will be read by Master file;High;;
WEB-012;% short over float;What is the % of shares which are shorted to the ratio of the float;https://www.benzinga.com/;https://www.benzinga.com/quote/sagt/short-interest#google_vignette;API / webpage;;once before analysis;;;High;;
WEB-013;Warrants as resistance?;Sums the total of all warrants which are less than 100% over actual share price;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Every 5 minutes from start  until 9h29;Units of number of warrants;Some excel file which will be read by Master file;low;In Pause;
WEB-014;conv notes as resistance;Sums the total of all conv notes which are less than 100% over actual share price;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Every 5 minutes from start  until 9h29;Units of number of conv notes;Some excel file which will be read by Master file;low;In Pause;
WEB-015;conv prefered as resistance;Sums the total of all conv preferred which are less than 100% over actual share price;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;Every 5 minutes from start  until 9h29;Units of number of conv prefered;Some excel file which will be read by Master file;low;In Pause;
WEB-016;Total resistance of Warrants/conv notes and preferred;Sum of WEB 013 to WEB015;;;;;;;;low;In Pause;
WEB-017;ATM registered?;Is there a ATM registered?;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;once before analysis;Yes/no;Some excel file which will be read by Master file;low;;
WEB-018;ATM Amount?;If Web 017 = yes, amount of ATM;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;once before analysis;Amount in millions;Some excel file which will be read by Master file;low;;
WEB-019;Shelf registered?;Is there a shelf registered?;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;once before analysis;Yes/no;Some excel file which will be read by Master file;low;;
WEB-020;Equity line registered?;Is there a equity  line registered?;https://dilutiontracker.com;https://dilutiontracker.com/app/search/LOOP?a=90cdc5;API / webpage;Ticker + ;once before analysis;Yes/no;Some excel file which will be read by Master file;low;;
